dutch_word,english1,sentence1,english2,sentence2
"invloed","influence","Ze heeft veel invloed.","impact","Zijn invloed was groot."
"invoeren","to import","Ze moesten nieuwe regels invoeren.","to implement","Hij voerde data in."
"kerel","guy","Die kerel is sterk.","fellow","Ze vertrouwden die kerel."
"keren","to turn","Ze moesten terugkeren.","to return","Hij keerde zich om."
"kerk","church","Ze gingen naar de kerk.","house of worship","De kerk is oud."
"kermis","fair","Ze gingen naar de kermis.","funfair","De kermis was groot."
"Kerstmis","Christmas","Met Kerstmis eten we samen.","Xmas","Kerstmis is een feestdag."
"keuken","kitchen","Ze koken in de keuken.","cookhouse","De keuken is schoon."
"keus","choice","Ze hadden veel keus.","selection","Hij maakte een keus."
"keuze","choice","De keuze was moeilijk.","option","Ze maakten een goede keuze."
"kiezen","to choose","Je moet een kleur kiezen.","to elect","Ze kozen een nieuwe leider."
"kiezer","voter","Elke kiezer heeft een stem.","elector","De kiezers gingen stemmen."
"kijken","to look","Ze kijken naar de film.","to watch","Hij keek uit het raam."
"kilo (het, de)","kilo","Het weegt een kilo.","kilogram","Ze kochten een kilo appels."
"kilometer","kilometer","De afstand is vijf kilometer.","km","Ze reden tien kilometer."
"kind (het)","child","Het kind speelt buiten.","kid","Ze hebben één kind."
"kip","chicken","Ze aten kip met rijst.","hen","De kip legde een ei."
"kist","chest","Ze openden een kist met spullen.","box","In de kist zaten boeken."
"klaar","ready","Ze is klaar met werken.","finished","Alles is klaar."
"klagen","to complain","Hij wilde altijd klagen.","to grumble","Ze klaagde over het eten."
"klant","customer","De klant bestelde brood.","client","Ze hielpen de klant snel."
"klap","blow","Hij gaf een klap op tafel.","hit","Ze hoorde een klap."
"klas","class","De klas is druk.","group","Hij zat in een andere klas."
"klasse","class","Ze hebben een eerste klasse ticket.","grade","De school heeft vijf klassen."
"klein","small","Het huis is klein.","little","Ze droegen een kleine jas."
"kleren","clothes","Ze droeg nette kleren.","clothing","Zijn kleren waren vies."
"kleur","color","Welke kleur kies je?","hue","De kleur blauw is mooi."
"klimaat (het)","climate","Het klimaat verandert.","weather pattern","Ze bestudeerden het klimaat."
"klimmen","to climb","Ze klommen op de berg.","to ascend","Hij klom in de boom."
"klinken","to sound","De bel klinkt hard.","to ring","Het klinkt goed."
"klok","clock","De klok hangt aan de muur.","timepiece","Hij keek op de klok."
"kloppen","to knock","Ze kloppen op de deur.","to beat","Het hart klopt snel."
"knap","handsome","Ze is een knap meisje.","clever","Hij is knap in wiskunde."
"knie","knee","Hij viel op zijn knie.","joint","De knie deed pijn."
"knoop","knot","Ze maakte een knoop in het touw.","button","Hij zette een knoop aan zijn jas."
"koe","cow","De koe graast in de wei.","bovine","Ze melken de koe."
"koek","cake","Ze eten koek bij de koffie.","cookie","Hij bakte een koek."
"koers","course","De koers van het schip is noord.","rate","De koers van de aandelen daalde."
"koffer","suitcase","Ze pakten hun koffer.","luggage","De koffer staat klaar."
"koffie","coffee","Ze drinken koffie in de ochtend.","brew","De koffie is heet."
"koken","to cook","Ze gaat vanavond koken.","to boil","Hij kookte de aardappelen."
"komen","to come","Ze komen morgen langs.","to arrive","Hij komt net binnen."
"koning","king","De koning hield een toespraak.","monarch","Ze zagen de koning."
"koningin","queen","De koningin zwaaide naar het publiek.","monarch","Ze bewonderden de koningin."
"koninklijk","royal","Ze kregen een koninklijke ontvangst.","regal","De familie is koninklijk."
"kop","head","Hij stootte zijn kop.","cup","Ze dronken uit een kop."
"kopen","to buy","Ze willen een huis kopen.","to purchase","Hij kocht een boek."
"kort","short","De vakantie was kort.","brief","Ze gaf een kort antwoord."
"kosten (de)","costs","De kosten waren hoog.","expenses","Ze berekenden de kosten."
"kosten","to cost","Hoeveel kost dit?","price","Het kost tien euro."
"kous","sock","Ze droeg een warme kous.","stocking","Ze kocht nieuwe kousen."
"kraan","tap","Ze openden de kraan.","faucet","Het water uit de kraan is koud."
"kracht","strength","Ze heeft veel kracht.","power","De kracht van de motor is groot."
"krachtig","powerful","Het was een krachtige wind.","strong","Hij sprak krachtig."
"krant","newspaper","Hij leest de krant elke dag.","paper","Ze bladerde door de krant."
"krijgen","to get","Hij kon de kans krijgen.","to receive","Ze kregen een cadeau."
"kring","circle","Ze stonden in een kring.","ring","De kring was groot."
"kritiek","criticism","Hij kreeg kritiek op zijn werk.","comment","Ze gaf veel kritiek."
"kritisch","critical","Ze stelde kritische vragen.","skeptical","Hij was kritisch."
"kruipen","to crawl","De baby begon te kruipen.","to creep","Ze kropen onder het bed."
"kruispunt (het)","crossroad","Ze stonden bij het kruispunt.","intersection","Het kruispunt was druk."
"kunnen","can","Ik kan dat doen.","to be able","Ze konden niet komen."
"kunst","art","Ze houden van kunst.","artwork","De kunst is prachtig."
"kunstenaar","artist","Hij is een kunstenaar.","painter","Ze ontmoetten een kunstenaar."
"kus","kiss","Ze gaven elkaar een kus.","peck","Ze stuurde hem een kus."
"kussen (het)","pillow","Ze legde haar hoofd op het kussen.","cushion","Het kussen is zacht."
"kust","coast","Ze wonen aan de kust.","shore","De kust is mooi."
"kwaad (het)","evil","Het kwaad moet bestreden worden.","harm","Ze vrezen het kwaad."
"kwaad","angry","Hij werd kwaad.","mad","Ze kijkt kwaad."
"kwalijk","bad","Dat is kwalijk nieuws.","unfortunate","Ze nam het hem kwalijk."
"kwaliteit","quality","De kwaliteit van dit product is hoog.","standard","Ze verbeterden de kwaliteit."
"kwart (het)","quarter","Het is een kwart voor drie.","fourth","Een kwart van de klas was ziek."
"kwestie","matter","Dit is een belangrijke kwestie.","issue","Ze bespraken de kwestie tijdens de vergadering."
"kwijt","lost","Ik ben mijn sleutel kwijt.","rid of","Hij is zijn angst kwijt."
"L","L","De letter L komt na K.","el","Hij oefende de L."
"laag","low","Het waterpeil is laag.","layer","Er zit een laag stof op."
"laars","boot","Ze droeg hoge laarzen.","wellingtons","De laars zat strak."
"laat","late","Hij kwam te laat.","let","Laat hem binnen."
"lachen","to laugh","Ze begon hard te lachen.","to smile","Hij lachte vriendelijk."
"laken (het)","sheet","Ze spreidde het laken uit.","bed sheet","Het laken was wit."
"lamp","lamp","Ze kochten een nieuwe lamp.","light","De lamp brandt nog."
"land (het)","country","Ze wonen in een ander land.","land","Het land is vruchtbaar."
"landbouw","agriculture","Landbouw is belangrijk in dit gebied.","farming","Ze werken in de landbouw."
"lang","long","Het is een lange weg.","tall","Hij is lang voor zijn leeftijd."
"langs (vz)","along","Ze liepen langs het strand.","past","Hij liep langs het huis."
"langs (bw)","by","Kom je langs?","over","Hij kwam even langs."
"langzaam","slow","De trein rijdt langzaam.","slowly","Ze wandelde langzaam."
"langzamerhand","gradually","Langzamerhand werd het rustiger.","little by little","Ze herstelde langzamerhand."
"last","burden","Ze droeg een zware last.","trouble","Hij had last van zijn rug."
"laten","to let","Laat hem binnen.","to allow","Ze liet hem praten."
"lawaai (het)","noise","Er was veel lawaai.","racket","Ze maakten lawaai op straat."
"leeftijd","age","Wat is je leeftijd?","years","Ze is op jonge leeftijd verhuisd."
"leeg","empty","Het glas is leeg.","vacant","De kamer stond leeg."
"leer (het)","leather","De tas is van leer.","hide","Hij kocht leer voor de schoenen."
"leer (de)","doctrine","De leer van de kerk.","teaching","Ze studeerden een nieuwe leer."
"leerling","pupil","De leerling maakte zijn huiswerk.","student","Ze helpt de leerlingen."
"leger (het)","army","Het leger marcheerde voorbij.","military","Het leger is sterk."
"leggen","to lay","Hij legt het boek op tafel.","to put","Ze legde de kaarten neer."
"leiden","to lead","Hij kan de groep leiden.","to guide","Ze leidde de rondleiding."
"leider","leader","De leider sprak tot de groep.","head","Hij is de leider van het team."
"leiding","leadership","De leiding nam een besluit.","management","De leiding is tevreden."
"lekker","tasty","Het eten is lekker.","pleasant","Het is lekker weer."
"lelijk","ugly","Het schilderij is lelijk.","unattractive","Ze vond het huis lelijk."
"lenen","to borrow","Mag ik een boek lenen?","to lend","Ze lenen vaak spullen uit."
"lente","spring","De lente begint in maart.","springtime","Ze houdt van de lente."
"lepel","spoon","Hij at soep met een lepel.","utensil","Pak een lepel uit de lade."
"leraar","teacher","De leraar gaf les.","instructor","Hij is een goede leraar."
"leren","to learn","Ze willen fietsen leren.","to teach","Hij leerde zijn zoon lezen."
"les","lesson","De les begon om negen uur.","class","Ze gaf een interessante les."
"letten","to pay attention","Je moet goed letten op het verkeer.","to watch","Ze letten niet op de tijd."
"letter","letter","De letter A staat vooraan.","character","Hij schreef elke letter netjes."
"leuk","nice","Wat een leuk idee!","fun","Ze vonden het een leuk feestje."
"leven (het)","life","Het leven is mooi.","existence","Ze genieten van het leven."
"leven","to live","Ze willen in de stad leven.","to exist","De vissen leven in het water."
"leveren","to deliver","Ze leveren de pakketten op tijd.","to supply","Het bedrijf levert goederen."
"lezen","to read","Ze wil een boek lezen.","to peruse","Hij las elke avond."
"lezer","reader","De lezer vond het boek spannend.","audience","De lezers waren enthousiast."
"lichaam (het)","body","Het lichaam heeft rust nodig.","corpse","Het lichaam werd gevonden."
"licht (het)","light","Het licht brandt nog.","illumination","Ze zag een helder licht."
"licht","light","De tas is licht.","not heavy","Hij draagt een lichte jas."
"lid (het)","member","Ze is lid van een club.","part","Het lid van de vereniging sprak."
"lied (het)","song","Ze zongen een mooi lied.","tune","Het lied klonk vrolijk."
"lief","sweet","Ze is een lief meisje.","dear","Hij schreef een lief briefje."
"liefde","love","Ze voelden veel liefde.","affection","Hun liefde bleef sterk."
"liegen","to lie","Hij besloot te liegen over zijn leeftijd.","to tell a falsehood","Ze wilde niet liegen tegen haar ouders."
"liever","rather","Ik drink liever thee dan koffie.","preferably","Ze ging liever wandelen dan fietsen."
"liggen","to lie","Het boek ligt op tafel.","to be situated","Ze lagen op het strand."
"lijden","to suffer","Ze lijdt aan hoofdpijn.","to endure","Hij moest veel lijden tijdens de oorlog."
"lijf (het)","body","Ze voelde pijn in haar lijf.","physique","Het lijf van de atleet is sterk."
"lijken","to seem","Het lijkt een goed idee.","to appear","Ze lijken op elkaar."
"lijn","line","Ze trokken een lijn op papier.","connection","De telefoonlijn was bezet."
"lijst","list","Ze maakte een lijst van boodschappen.","chart","Hij hing een lijst aan de muur."
"limonade","lemonade","De kinderen dronken limonade.","soft drink","Ze bestelde een glas limonade."
"links","left","De auto sloeg linksaf.","to the left","Ze liep links van de weg."
"lip","lip","Ze beet op haar lip.","mouth edge","Zijn lippen waren droog."
"liter","liter","Een liter melk is nodig.","L","Ze kochten een liter water."
"logeren","to stay","Ze ging bij haar tante logeren.","to lodge","Hij logeerde in een hotel."
"logisch","logical","Het antwoord is logisch.","reasonable","Ze gaf een logische uitleg."
"loon (het)","wage","Hij kreeg zijn loon elke maand.","salary","Het loon is verhoogd."
"loop","walk","Ze maakten een korte loop.","course","De loop van de rivier is lang."
"lopen","to walk","Ze lopen naar school.","to run","De machine loopt niet goed."
"lucht","air","De lucht is blauw.","sky","Ze vlogen door de lucht."
"lucifer","match","Hij stak een lucifer aan.","matchstick","De lucifer brandde snel op."
"luid","loud","Het geluid was luid.","aloud","Ze sprak luid en duidelijk."
"luiden","to ring","De klokken luiden elke zondag.","to sound","Het contract luidt als volgt."
"luisteren","to listen","Ze luisteren naar muziek.","to heed","Luister goed naar de leraar."
"lukken","to succeed","Het plan lukte goed.","to work out","Het wilde niet lukken."
"lunch","lunch","Ze hadden een lekkere lunch.","midday meal","De lunch was klaar."
"ma","mom","Ma, waar ben je?","mother","Ik bel even ma."
"maal (de)","meal","Drie maal per dag eten we.","times","Ze herhaalde het drie maal."
"maal (het)","time","Het is de eerste maal dat ik hier ben.","occasion","Het was een druk maal."
"maaltijd","meal","Ze bereiden een warme maaltijd.","dinner","De maaltijd was heerlijk."
"maandag","Monday","Maandag begint de werkweek.","Mon","Ze kwamen maandag terug."
"maar","but","Ik wil gaan, maar het regent.","however","Ze dacht maar even na."
"maar (bw)","only","Het kost maar tien euro.","merely","Hij bleef maar even."
"maar (vw)","but","Hij wilde gaan, maar bleef thuis.","yet","Maar ik dacht dat je kwam."
"maart","March","Maart is de derde maand.","Mar","In maart bloeien de bloemen."
"maat","size","Welke maat heb je nodig?","measure","Hij is een maat van mij."
"maatregel","measure","Ze namen een maatregel tegen fraude.","action","De maatregelen werden uitgevoerd."
"maatschappelijk","social","Ze doen maatschappelijk werk.","societal","Het maatschappelijk belang is groot."
"maatschappij","society","We leven in een maatschappij.","company","De maatschappij groeit."
"machine","machine","De machine werkt goed.","device","Ze repareerden de machine."
"macht","power","Hij heeft veel macht.","authority","Ze misbruikte haar macht."
"machtig","powerful","Hij is een machtig man.","mighty","Ze voelden zich machtig."
"mager","thin","Ze was erg mager.","lean","Hij kocht mager vlees."
"maken","to make","Ze maken een plan.","to create","Hij maakte een schilderij."
"makkelijk","easy","Het examen was makkelijk.","simple","Het is makkelijk te begrijpen."
"mama","mom","Mama leest een boek.","mother","De baby roept mama."
